rank,bag_name,event_start_rel_s,event_end_rel_s,window_start_rel_s,window_end_rel_s,paper_eligible,score,pre_risk,event_peak_risk,post_risk,risk_rise,risk_recovery,pre_lateral,event_lateral_p90,post_lateral,lateral_increase,event_forward,event_delta_y_w,moving_fraction,reconstruction_error_max
27,pcr_real_20260618_143745.bag,24.886691093444824,25.480929374694824,21.9741849899292,29.47055220603943,False,3.8881604386227475,0.3171025365591049,0.5605127811431885,0.22769230604171753,0.24341024458408356,0.33282047510147095,0.19949999451637268,0.2073800027370453,0.20720000565052032,0.007880008220672613,0.5215142922742027,0.06729287930897303,1.0,6.258487694754677e-08
28,pcr_avoid_intention_debug4.bag,28.59429383277893,30.393304347991943,25.619380474090576,32.693291664123535,False,3.8787434479123677,0.26027119159698486,0.6703656911849976,0.4981372505426407,0.4100944995880127,0.17222844064235687,0.15240000188350677,0.2166599988937378,0.22944999486207962,0.06425999701023102,0.10029473587086327,0.06440924782502024,1.0,5.662441249221217e-08
29,pcr_real_20260618_143745.bag,26.379398345947266,26.886390686035156,23.384150981903076,30.871415615081787,False,3.842288653055827,0.3446153402328491,0.5010256171226501,0.2637692093849182,0.15641027688980103,0.23725640773773193,0.1995999962091446,0.2391500025987625,0.20280000567436218,0.03955000638961792,0.670799990495046,0.07410386204719543,1.0,6.258487694754677e-08
30,pcr_avoid_intention_debug6.bag,40.50649285316467,42.80327868461609,37.611637353897095,45.52281165122986,False,3.8324819557368754,0.3795382231473923,0.742205023765564,0.5833698213100433,0.3626668006181717,0.15883520245552063,0.16504999995231628,0.21629000455141068,0.1444000005722046,0.05124000459909439,0.26164583303034306,0.06148513704538345,1.0,6.556510923072523e-08
31,pcr_real_20260618_143745.bag,22.48640513420105,23.384150981903076,19.585916996002197,27.287761688232422,False,3.782437879610807,0.0008116676472127438,0.4194871485233307,0.3497435450553894,0.41867548087611794,0.06974360346794128,0.23189999908208847,0.21928999423980713,0.20740000158548355,-0.012610004842281336,0.7011500000953674,0.07777537465095519,1.0,5.33647835920803e-08
32,pcr_avoid_intention_debug3.bag,11.107461929321289,12.32272720336914,8.206889867782593,14.001516819000244,False,3.628503627272753,0.1354217380285263,0.43028268218040466,0.2884059101343155,0.29486094415187836,0.14187677204608917,0.13385000079870224,0.17420000433921815,0.15479999780654907,0.040350003540515905,0.4166846183630136,0.07677417535048264,1.0,5.662441249221217e-08
33,pcr_real_20260618_143745.bag,14.490091323852539,17.08118510246277,11.944599390029907,20.980244874954224,False,3.5454973047530203,0.29076921939849854,0.3958461284637451,0.06073782220482826,0.10507690906524658,0.33510830625891685,0.24220000207424164,0.25928000211715696,0.2329999953508377,0.017080000042915322,0.6432629602926748,0.057477875550587976,1.0,5.513429646164525e-08
34,pcr_avoid_intention_debug3.bag,51.499308347702026,51.99993848800659,50.30625009536743,55.9980206489563,False,3.492589664957086,9.588350621925201e-06,0.34696945548057556,0.22300182282924652,0.34695986712995364,0.12396763265132904,0.11749999970197678,0.18940000236034393,0.15070000290870667,0.07190000265836716,0.05989999882876873,0.06730659008026123,1.0,4.917383200631065e-08
35,pcr_real_20260618_143745.bag,17.374722957611084,18.38190746307373,14.387853145599365,22.378589153289795,False,3.472651802883907,0.29917946457862854,0.3874358534812927,0.003908983431756496,0.08825638890266418,0.38352687004953623,0.25029999017715454,0.2554999887943268,0.23170000314712524,0.005199998617172241,0.6449909047646956,0.05722685402089899,1.0,5.33647835920803e-08
36,pcr_real_20260618_154442.bag,194.1263313293457,201.8132517337799,192.31098175048828,205.71333241462708,False,3.4513471118914776,0.23499631881713867,0.3615384101867676,0.3589743971824646,0.1265420913696289,0.0025640130043029785,0.1266999989748001,0.2572999894618988,0.24279999732971191,0.1305999904870987,0.5560217942946997,0.03337904810905456,1.0,5.21540641784668e-08
37,pcr_real_20260618_143745.bag,205.2795693874359,205.98572444915771,202.28953671455383,208.0760178565979,False,3.221701720356941,0.1306666135787964,0.3574359118938446,0.29994867742061615,0.22676929831504822,0.057487234473228455,0.19750000536441803,0.23789000511169434,0.21509999781847,0.040389999747276306,0.5673750005662441,0.06429875940084458,1.0,5.662441249221217e-08
38,pcr_avoid_intention_debug5.bag,44.5992796421051,45.80314922332764,41.60810041427612,49.71764326095581,False,3.0134258041015043,0.23360717296600342,0.501569926738739,0.41660434007644653,0.2679627537727356,0.08496558666229248,0.1712999939918518,0.2123800039291382,0.24574999511241913,0.04108000993728639,0.3521230759528967,0.0677611332673293,1.0,5.5134296350622947e-08
39,pcr_avoid_intention_debug3.bag,59.59793257713318,60.043620586395264,56.61453413963318,63.709715604782104,False,2.8240331728756427,0.0291144959628582,0.4591638743877411,0.6339974105358124,0.4300493784248829,-0.1748335361480713,0.12330000102519989,0.1959399998188019,0.0471000000834465,0.072639998793602,0.17696000039577484,0.0515468144416809,1.0,5.364418032005602e-08
40,pcr_real_20260618_154442.bag,20.813563108444214,21.301854610443115,17.904263973236084,25.21252727508545,False,2.7003598709901175,0.21205125749111176,0.4535384178161621,0.23999996483325958,0.24148716032505035,0.21353845298290253,0.23404999822378159,0.25030000507831573,0.23375000059604645,0.01625000685453415,0.11998333285252254,0.05730116367340088,1.0,5.066394803687757e-08
41,pcr_real_20260618_154442.bag,22.40548849105835,23.315347909927368,19.412975072860718,27.308300256729126,False,2.6930610442161558,0.2266666144132614,0.4608204662799835,0.24717941880226135,0.2341538518667221,0.21364104747772217,0.23399999737739563,0.2527500122785568,0.23260000348091125,0.018750014901161183,0.11995999962091446,0.056035791635513296,1.0,5.066394803687757e-08
42,pcr_avoid_intention_debug3.bag,184.90813946723938,185.50000715255737,182.00716876983643,189.49517607688904,False,2.6854550484035693,0.09963060542941093,0.4414752721786499,0.5359319448471069,0.34184466674923897,-0.09445667266845703,0.151699997484684,0.19039999842643737,0.18359999358654022,0.03870000094175338,0.3438428555216108,0.0627908911023821,1.0,6.109476091697985e-08
43,pcr_avoid_intention_debug3.bag,222.50357866287231,223.00753235816956,219.5942304134369,226.10776591300964,False,2.6733252664407097,0.24080710113048553,0.49551549553871155,0.4390179514884949,0.254708394408226,0.056497544050216675,0.16949999332427979,0.22590000182390213,0.1741499975323677,0.056400008499622345,0.11481666813294093,0.054619890451431265,1.0,5.410984160736376e-08
44,pcr_real_20260618_152739.bag,22.8579580783844,23.242271661758423,20.353614807128906,26.56560492515564,False,2.672715315818787,0.26305122673511505,0.5369230508804321,0.39166663587093353,0.2738718241453171,0.1452564150094986,0.22420000284910202,0.2135400027036667,0.2061999961733818,-0.010660000145435333,0.35098000168800353,0.06853684902191162,1.0,6.109476091697985e-08
45,pcr_real_20260618_154442.bag,27.704768180847168,28.41361355781555,24.713079690933228,32.3131844997406,False,2.5693426895886655,0.2536153793334961,0.44830766320228577,0.20346150547266006,0.19469228386878967,0.2448461577296257,0.2354000061750412,0.2517500028014183,0.22555000334978104,0.016349996626377095,0.12003750074654818,0.055740563571453086,1.0,5.4389238335339485e-08
46,pcr_avoid_intention_debug5.bag,47.10559701919556,49.71764326095581,44.20170283317566,53.613588094711304,False,2.551843407143045,0.24940916150808334,0.44597870111465454,0.4134614169597626,0.1965695396065712,0.03251728415489197,0.16234999895095825,0.2596800088882446,0.2418999969959259,0.09733000993728635,0.02682962958459501,0.060582390096452506,1.0,5.81145286338014e-08
47,pcr_real_20260618_143745.bag,12.78232479095459,13.883103132247925,11.944599390029907,17.880228519439697,False,2.532927849888802,0.28317947685718536,0.39056408405303955,0.2954871654510498,0.10738460719585419,0.09507691860198975,0.2415499985218048,0.2537399917840958,0.24979999661445618,0.012189993262290977,0.6436749994754791,0.058062410354614256,1.0,5.513429646164525e-08
48,pcr_real_20260618_154442.bag,25.12127447128296,25.517591953277588,22.208170890808105,29.507246017456055,False,2.4126530855894086,0.24402563273906708,0.4508717954158783,0.2532307207584381,0.20684616267681122,0.19764107465744019,0.23375000059604645,0.24631999731063842,0.2321999967098236,0.012569996714591969,0.12075999975204468,0.05781934261322021,1.0,4.023313515677529e-08
49,pcr_avoid_intention_debug5.bag,52.119699001312256,53.90389394760132,49.12174916267395,57.81879925727844,False,2.201449952895443,0.4124574065208435,0.67083740234375,0.6583231687545776,0.2583799958229065,0.012514233589172363,0.24079999327659607,0.2890900015830994,0.1628499999642372,0.04829000830650332,0.08088333376993735,0.059188747406005854,1.0,5.81145286338014e-08
50,pcr_real_20260618_154442.bag,28.818053722381592,29.210211277008057,25.822951793670654,33.20755076408386,False,2.161558741927147,0.25517943501472473,0.44461530447006226,0.20653843879699707,0.18943586945533752,0.23807686567306519,0.23770000040531158,0.22665999829769135,0.22280000150203705,-0.01104000210762024,0.12288000136613846,0.06689065217971803,1.0,5.4389238335339485e-08
51,pcr_real_20260618_152739.bag,22.139047861099243,22.540679931640625,20.353614807128906,26.447083711624146,False,2.1273045718669894,0.1507691890001297,0.4276922345161438,0.39135897159576416,0.2769230455160141,0.03633326292037964,0.22750000655651093,0.22909999787807467,0.2050499990582466,0.001599991321563743,0.21128000020980836,0.06576547622680665,1.0,6.109476091697985e-08
52,pcr_real_20260618_154442.bag,15.803737878799438,16.815131902694702,14.018253564834595,20.813563108444214,False,1.7986023772846569,0.4794871509075165,0.4825640916824341,0.21128201484680176,0.0030769407749176025,0.2712820768356323,0.24160000681877136,0.25760000944137573,0.23399999737739563,0.01600000262260437,0.16064545647664505,0.055999478426846584,1.0,5.513429646164525e-08
53,pcr_real_20260618_153529.bag,177.09653282165527,182.3113615512848,174.10082340240479,186.30468082427979,False,1.7760796753865367,0.327179491519928,0.32923075556755066,0.20923075079917908,0.0020512640476226807,0.12000000476837158,0.20350000262260437,0.20749999582767487,0.19580000638961792,0.003999993205070496,0.5674452837908043,0.036777618696104804,1.0,5.066394803687757e-08
54,pcr_real_20260618_143745.bag,30.194250106811523,30.9792218208313,27.287761688232422,34.976651430130005,False,1.5590604199303524,0.2204551100730896,0.4246666431427002,0.733846127986908,0.2042115330696106,-0.30917948484420776,0.20075000077486038,0.21542000472545625,0.17720000445842743,0.014670003950595867,0.6933333343929715,0.07659132083257039,1.0,6.258487694754677e-08
55,pcr_avoid_intention_debug6.bag,39.92172622680664,40.306941986083984,36.99597978591919,44.21318173408508,False,1.507423114776611,0.3846217691898346,0.5086086988449097,0.48909930884838104,0.12398692965507507,0.019509389996528625,0.16279999911785126,0.1833000063896179,0.1863500028848648,0.02050000727176665,0.20924000144004823,0.050356936454772946,1.0,6.556510923072523e-08
56,pcr_avoid_intention_debug3.bag,58.296316385269165,59.20793700218201,55.30671501159668,63.20786714553833,False,1.4533627162873741,0.06901213526725769,0.3322925269603729,0.6027176380157471,0.26328039169311523,-0.27042511105537415,0.12520000338554382,0.19304999411106108,0.07159999758005142,0.06784999072551726,0.08948000036180019,0.06566711425781249,1.0,5.364418032005602e-08
57,pcr_real_20260618_152739.bag,10.653552293777466,11.057721376419067,8.063968896865845,14.1544828414917,False,1.4017770206928255,0.2609230577945709,0.45558974146842957,0.5646153688430786,0.19466668367385864,-0.10902562737464905,0.2078000009059906,0.21353999972343446,0.22100000083446503,0.005739998817443859,0.29772000312805175,0.07171537399291991,1.0,5.6624412603234475e-08
58,pcr_avoid_intention_debug6.bag,21.696478366851807,22.338250398635864,18.713011503219604,26.317212104797363,False,0.4899224971021926,0.4189959466457367,0.4184439182281494,0.4814218282699585,-0.0005520284175872803,-0.06297791004180908,0.21860000491142273,0.2466199964284897,0.22920000553131104,0.028019991517066967,0.10728571457522255,0.0529809900692531,1.0,5.5134296350622947e-08
59,pcr_avoid_intention_debug5.bag,49.90089821815491,50.80736327171326,46.91770672798157,54.70490622520447,False,0.36894926197826894,0.4352584779262543,0.41948550939559937,0.3748319000005722,-0.015772968530654907,0.04465360939502716,0.2522999942302704,0.26568000912666323,0.19135000556707382,0.013380014896392844,0.017470000125467778,0.056279811859130856,1.0,5.81145286338014e-08
60,pcr_offset_avoid_debug_20260609_190146.bag,66.20153403282166,66.61043930053711,63.2211217880249,67.99748873710632,False,0.35126283019315474,0.826488196849823,0.5015109181404114,0.021181384101510048,-0.3249772787094116,0.48032953403890133,0.2709999978542328,0.28122000098228456,0.1972000002861023,0.010220003128051769,0.0010199999785982072,0.01910367965698242,1.0,5.21540641784668e-08
61,pcr_real_20260618_152739.bag,9.443052053451538,9.8524649143219,8.063968896865845,13.74435830116272,False,0.2739111310243608,0.20653843879699707,0.29805123805999756,0.5153845995664597,0.09151279926300049,-0.2173333615064621,0.19920000433921814,0.2157199949026108,0.2122500017285347,0.01651999056339265,0.15008000135421753,0.060113568305969235,1.0,5.6624412603234475e-08
